0,1.102400e+00
1,9.797000e-01
2,9.571000e-01
3,9.929000e-01
4,1.002900e+00
5,9.817000e-01
6,1.013400e+00
7,9.805000e-01
8,9.941000e-01
9,9.853000e-01
10,1.036700e+00
11,1.033900e+00
12,9.916000e-01
13,9.986000e-01
14,9.972000e-01
15,9.790000e-01
16,1.009700e+00
17,9.986000e-01
18,1.000800e+00
19,1.008300e+00
20,1.010800e+00
21,9.990000e-01
22,9.960000e-01
23,9.821000e-01
24,1.008200e+00
25,1.017300e+00
26,1.005000e+00
27,1.001700e+00
28,9.998000e-01
29,1.026200e+00
30,9.963000e-01
31,9.969000e-01
32,1.005300e+00
33,1.002000e+00
34,9.786000e-01
35,1.019200e+00
36,1.008000e+00
37,9.949000e-01
38,1.013000e+00
39,1.000300e+00
40,1.002900e+00
41,9.862000e-01
42,9.951000e-01
43,1.009200e+00
44,9.940000e-01
45,9.987000e-01
46,9.728000e-01
47,1.000900e+00
48,9.937000e-01
49,1.007100e+00
